"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 20:24:22 BST 2022","Wed Oct 26 20:24:51 BST 2022","28407","","","","","","Browser context playwrigt test",""
"passed","Wed Oct 26 20:26:12 BST 2022","Wed Oct 26 20:26:21 BST 2022","8655","","","","","","page playwrigt test",""
"passed","Wed Oct 26 20:23:10 BST 2022","Wed Oct 26 20:23:33 BST 2022","23585","","","","","","@API Browser context playwrigt test",""
"passed","Wed Oct 26 20:26:00 BST 2022","Wed Oct 26 20:26:12 BST 2022","11963","","","","","","Browser context playwrigt test",""
"passed","Wed Oct 26 20:24:23 BST 2022","Wed Oct 26 20:24:40 BST 2022","17060","","","","","","Browser context playwrigt test",""
"passed","Wed Oct 26 20:22:56 BST 2022","Wed Oct 26 20:23:03 BST 2022","6366","","","","","","basic test",""
"passed","Wed Oct 26 20:24:41 BST 2022","Wed Oct 26 20:24:59 BST 2022","18556","","","","","","utilities deneme",""
"passed","Wed Oct 26 20:23:14 BST 2022","Wed Oct 26 20:23:33 BST 2022","19538","","","","","","@API utilities deneme",""
"passed","Wed Oct 26 20:25:58 BST 2022","Wed Oct 26 20:26:12 BST 2022","14191","","","","","","Browser context playwrigt test ",""
"failed","Wed Oct 26 20:26:33 BST 2022","Wed Oct 26 20:26:39 BST 2022","5728","","","","","","visual",""
"passed","Wed Oct 26 20:23:04 BST 2022","Wed Oct 26 20:23:10 BST 2022","5123","","","","","","basic test",""
"passed","Wed Oct 26 20:25:48 BST 2022","Wed Oct 26 20:26:00 BST 2022","12488","","","","","","Browser context playwrigt test",""
"passed","Wed Oct 26 20:23:07 BST 2022","Wed Oct 26 20:23:28 BST 2022","21493","","","","","","Browser context playwrigt test",""
"passed","Wed Oct 26 20:22:56 BST 2022","Wed Oct 26 20:23:14 BST 2022","17862","","","","","","@Web Browser context playwrigt test",""
"passed","Wed Oct 26 20:25:44 BST 2022","Wed Oct 26 20:25:58 BST 2022","14356","","","","","","Browser context playwrigt test omeryttnc5@gmail.com",""
"passed","Wed Oct 26 20:24:51 BST 2022","Wed Oct 26 20:25:13 BST 2022","22082","","","","","","Browser context playwrigt test omeryttnc3@gmail.com",""
"broken","Wed Oct 26 20:24:37 BST 2022","Wed Oct 26 20:25:15 BST 2022","37727","","","","","","first",""
"passed","Wed Oct 26 20:23:03 BST 2022","Wed Oct 26 20:23:07 BST 2022","4001","","","","","","basic test",""
"passed","Wed Oct 26 20:25:13 BST 2022","Wed Oct 26 20:25:29 BST 2022","15888","","","","","","Browser context playwrigt test omeryttnc2@gmail.com",""
"passed","Wed Oct 26 20:22:56 BST 2022","Wed Oct 26 20:23:02 BST 2022","5607","","","","","","basic test",""
"passed","Wed Oct 26 20:23:02 BST 2022","Wed Oct 26 20:23:04 BST 2022","2548","","","","","","basic test",""
"passed","Wed Oct 26 20:25:29 BST 2022","Wed Oct 26 20:25:44 BST 2022","14982","","","","","","Browser context playwrigt test omeryttnc4@gmail.com",""
"passed","Wed Oct 26 20:26:04 BST 2022","Wed Oct 26 20:26:28 BST 2022","23686","","","","","","screen shoot",""
"passed","Wed Oct 26 20:56:50 BST 2022","Wed Oct 26 20:56:53 BST 2022","2550","","","","","","together",""
